"stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_url","to_from","schedules","stop_alias"
"128","Anaheim","33.802582","-117.877998","128","https://www.metrolinktrains.com/rider-info/general-info/stations/anaheim/","BOTH","1","Anaheim"
"171","Anaheim Canyon","33.854176","-117.840523","171","https://www.metrolinktrains.com/rider-info/general-info/stations/anaheim-canyon/","BOTH","1","Anaheim Canyon"
"101","Baldwin Park","34.086426","-117.957397","101","https://www.metrolinktrains.com/rider-info/general-info/stations/baldwin-park/","BOTH","1","Baldwin Park"
"130","Buena Park","33.875969","-117.986855","130","https://www.metrolinktrains.com/rider-info/general-info/stations/buena-park/","BOTH","1","Buena Park"
"102","Burbank - Downtown","34.178944","-118.312866","102","https://www.metrolinktrains.com/rider-info/general-info/stations/burbank---downtown/","BOTH","1","Burbank - Downtown"
"186","Burbank Airport - North (AV Line)","34.206389","-118.35","186","https://www.metrolinktrains.com/rider-info/general-info/stations/BurbankAirportNorth/","BOTH","1","Burbank Airport - North (AV Line)"
"170","Burbank Airport - South (VC Line)","34.192795","-118.352600","170","https://www.metrolinktrains.com/rider-info/general-info/stations/burbankairportsouth/","BOTH","1","Burbank Airport - South (VC Line)"
"115","Cal State LA","34.062119","-118.171646","115","https://www.metrolinktrains.com/rider-info/general-info/stations/cal-state-la/","BOTH","1","Cal State LA"
"166","Camarillo","34.216656","-119.033829","166","https://www.metrolinktrains.com/rider-info/general-info/stations/camarillo/","BOTH","1","Camarillo"
"103","Chatsworth","34.253197","-118.599411","103","https://www.metrolinktrains.com/rider-info/general-info/stations/chatsworth/","BOTH","1","Chatsworth"
"114","Claremont","34.093884","-117.716354","114","https://www.metrolinktrains.com/rider-info/general-info/stations/claremont/","BOTH","1","Claremont"
"135","Commerce","33.990734","-118.143776","135","https://www.metrolinktrains.com/rider-info/general-info/stations/commerce/","BOTH","1","Commerce"
"147","Corona - North Main","33.882195","-117.563454","147","https://www.metrolinktrains.com/rider-info/general-info/stations/corona---north-main/","BOTH","1","Corona - North Main"
"173","Corona - West","33.885761","-117.613586","173","https://www.metrolinktrains.com/rider-info/general-info/stations/corona---west/","BOTH","1","Corona - West"
"104","Covina","34.092140","-117.888893","104","https://www.metrolinktrains.com/rider-info/general-info/stations/covina/","BOTH","1","Covina"
"105","El Monte","34.076805","-118.035500","105","https://www.metrolinktrains.com/rider-info/general-info/stations/el-monte/","BOTH","1","El Monte"
"116","Fontana","34.095165","-117.438095","116","https://www.metrolinktrains.com/rider-info/general-info/stations/fontana/","BOTH","1","Fontana"
"174","Fullerton","33.868698","-117.922295","174","https://www.metrolinktrains.com/rider-info/general-info/stations/fullerton/","BOTH","1","Fullerton"
"106","Glendale","34.123341","-118.258926","106","https://www.metrolinktrains.com/rider-info/general-info/stations/glendale/","BOTH","1","Glendale"
"127","Industry","34.007927","-117.845581","127","https://www.metrolinktrains.com/rider-info/general-info/stations/industry/","BOTH","1","Industry"
"140","Irvine","33.657055","-117.732933","140","https://www.metrolinktrains.com/rider-info/general-info/stations/irvine/","BOTH","1","Irvine"
"119","Jurupa Valley / Pedley","33.978119","-117.476273","119","https://www.metrolinktrains.com/rider-info/general-info/stations/jurupa-valleypedley/","BOTH","1","Jurupa Valley / Pedley"
"107","L.A. Union Station","34.055729","-118.233513","107","https://www.metrolinktrains.com/rider-info/general-info/stations/l.a.-union-station/","BOTH","1","L.A. Union Station"
"141","Laguna Niguel / Mission Viejo","33.553902","-117.675003","141","https://www.metrolinktrains.com/rider-info/general-info/stations/laguna-niguelmission-viejo/","BOTH","1","Laguna Niguel / Mission Viejo"
"162","Lancaster","34.696579","-118.136131","162","https://www.metrolinktrains.com/rider-info/general-info/stations/lancaster/","BOTH","1","Lancaster"
"118","Montclair","34.094086","-117.695580","118","https://www.metrolinktrains.com/rider-info/general-info/stations/montclair/","BOTH","1","Montclair"
"126","Montebello / Commerce","34.006962","-118.125610","126","https://www.metrolinktrains.com/rider-info/general-info/stations/montebellocommerce/","BOTH","1","Montebello / Commerce"
"108","Moorpark","34.285324","-118.877876","108","https://www.metrolinktrains.com/rider-info/general-info/stations/moorpark/","BOTH","1","Moorpark"
"182","Moreno Valley / March Field","33.9975","-117.334417","182","https://www.metrolinktrains.com/rider-info/general-info/stations/moreno-valleymarch-field/","BOTH","1","Moreno Valley / March Field"
"175","Newhall","34.379913","-118.527306","175","https://www.metrolinktrains.com/rider-info/general-info/stations/newhall/","BOTH","1","Newhall"
"167","Northridge","34.230614","-118.545097","167","https://www.metrolinktrains.com/rider-info/general-info/stations/northridge/","BOTH","1","Northridge"
"143","Norwalk / Santa Fe Springs","33.916203","-118.060165","143","https://www.metrolinktrains.com/rider-info/general-info/stations/norwalksanta-fe-springs/","BOTH","1","Norwalk / Santa Fe Springs"
"144","Oceanside","33.192554","-117.379875","144","https://www.metrolinktrains.com/rider-info/general-info/stations/oceanside/","BOTH","1","Oceanside"
"117","Ontario - East","34.039909","-117.579521","117","https://www.metrolinktrains.com/rider-info/general-info/stations/ontario---east/","BOTH","1","Ontario - East"
"145","Orange","33.788780","-117.857300","145","https://www.metrolinktrains.com/rider-info/general-info/stations/orange/","BOTH","1","Orange"
"168","Oxnard","34.199276","-119.176308","168","https://www.metrolinktrains.com/rider-info/general-info/stations/oxnard/","BOTH","1","Oxnard"
"163","Palmdale","34.590771","-118.119293","163","https://www.metrolinktrains.com/rider-info/general-info/stations/palmdale/","BOTH","1","Palmdale"
"183","Perris - Downtown","33.785282","-117.229836","183","https://www.metrolinktrains.com/rider-info/general-info/stations/perris---downtown/","BOTH","1","Perris - Downtown"
"184","Perris - South","33.763752","-117.205711","184","https://www.metrolinktrains.com/rider-info/general-info/stations/perris---south/","BOTH","1","Perris - South"
"120","Pomona - Downtown","34.058765","-117.750549","120","https://www.metrolinktrains.com/rider-info/general-info/stations/pomona---downtown/","BOTH","1","Pomona - Downtown"
"109","Pomona - North","34.093639","-117.753052","109","https://www.metrolinktrains.com/rider-info/general-info/stations/pomona---north/","BOTH","1","Pomona - North"
"121","Rancho Cucamonga","34.091854","-117.559937","121","https://www.metrolinktrains.com/rider-info/general-info/stations/rancho-cucamonga/","BOTH","1","Rancho Cucamonga"
"190","Redlands - Downtown","34.059074","-117.184517","190","https://metrolinktrains.com/rider-info/general-info/stations/redlands---downtown/","BOTH","1","Redlands - Downtown"
"189","Redlands - Esri","34.060143","-117.196453","189","https://metrolinktrains.com/rider-info/general-info/stations/redlands---esri/","BOTH","1","Redlands - Esri"
"191","Redlands - University","34.058872","-117.165729","191","https://metrolinktrains.com/rider-info/general-info/stations/redlands---university/","BOTH","1","Redlands - University"
"122","Rialto","34.096786","-117.371887","122","https://www.metrolinktrains.com/rider-info/general-info/stations/rialto/","BOTH","1","Rialto"
"123","Riverside - Downtown","33.975552","-117.369888","123","https://www.metrolinktrains.com/rider-info/general-info/stations/riverside---downtown/","BOTH","1","Riverside - Downtown"
"181","Riverside - Hunter Park / UCR","33.99876309626103","-117.33450238656532","181","https://www.metrolinktrains.com/rider-info/general-info/stations/riverside---hunter-parkucr/","BOTH","1","Riverside - Hunter Park / UCR"
"148","Riverside - La Sierra","33.899925","-117.470200","148","https://www.metrolinktrains.com/rider-info/general-info/stations/riverside---la-sierra/","BOTH","1","Riverside - La Sierra"
"185","San Bernardino - Downtown","34.0995034","-117.2960167","185","https://www.metrolinktrains.com/rider-info/general-info/stations/san-bernardino-downtown/","BOTH","1","San Bernardino - Downtown"
"188","San Bernardino - Tippecanoe","34.0735","-117.2604","188","https://metrolinktrains.com/rider-info/general-info/stations/san-bernardino---tippecanoe/","BOTH","1","San Bernardino - Tippecanoe"
"124","San Bernardino Depot","34.104530","-117.310089","124","https://www.metrolinktrains.com/rider-info/general-info/stations/sanbernardinodepot/","BOTH","1","San Bernardino Depot"
"152","San Clemente","33.432076","-117.632736","152","https://www.metrolinktrains.com/rider-info/general-info/stations/san-clemente/","BOTH","1","San Clemente"
"133","San Clemente Pier","33.419476","-117.619598","133","https://www.metrolinktrains.com/rider-info/general-info/stations/san-clemente-pier/","BOTH","1","San Clemente Pier"
"153","San Juan Capistrano","33.501400","-117.663696","153","https://www.metrolinktrains.com/rider-info/general-info/stations/san-juan-capistrano/","BOTH","1","San Juan Capistrano"
"154","Santa Ana","33.751522","-117.855980","154","https://www.metrolinktrains.com/rider-info/general-info/stations/santa-ana/","BOTH","1","Santa Ana"
"111","Santa Clarita","34.413437","-118.524818","111","https://www.metrolinktrains.com/rider-info/general-info/stations/santa-clarita/","BOTH","1","Santa Clarita"
"112","Simi Valley","34.270412","-118.695549","112","https://www.metrolinktrains.com/rider-info/general-info/stations/simi-valley/","BOTH","1","Simi Valley"
"129","Sun Valley","34.222401","-118.373398","129","https://www.metrolinktrains.com/rider-info/general-info/stations/sun-valley/","BOTH","1","Sun Valley"
"110","Sylmar / San Fernando","34.292591","-118.450172","110","https://www.metrolinktrains.com/rider-info/general-info/stations/sylmarsan-fernando/","BOTH","1","Sylmar / San Fernando"
"156","Tustin","33.707966","-117.806015","156","https://www.metrolinktrains.com/rider-info/general-info/stations/tustin/","BOTH","1","Tustin"
"125","Upland","34.094501","-117.647507","125","https://www.metrolinktrains.com/rider-info/general-info/stations/upland/","BOTH","1","Upland"
"113","Van Nuys","34.211559","-118.448219","113","https://www.metrolinktrains.com/rider-info/general-info/stations/van-nuys/","BOTH","1","Van Nuys"
"169","Ventura - East","34.250793","-119.205025","169","https://www.metrolinktrains.com/rider-info/general-info/stations/ventura---east/","BOTH","1","Ventura - East"
"164","Via Princessa","34.408817","-118.469406","164","https://www.metrolinktrains.com/rider-info/general-info/stations/via-princessa/","BOTH","1","Via Princessa"
"165","Vincent Grade / Acton","34.497860","-118.118301","165","https://www.metrolinktrains.com/rider-info/general-info/stations/vincent-gradeacton/","BOTH","1","Vincent Grade / Acton"
"161","Vista Canyon","34.4131","-118.4339","161","https://metrolinktrains.com/rider-info/general-info/stations/vistacanyon/","BOTH","1","Vista Canyon"
